Group;Plate;Concentration;Compound;Condition;Row;Column;Counts;ConditionID;GroupID
0:None;567;0;Control;Control:0;;11;14;;
G0 + G1;567;0;Control;Control:0;;12;16403;;
late M;567;0;Control;Control:0;;12;228;;
S;567;0;Control;Control:0;;12;1609;;
Small;567;0;Control;Control:0;;12;469;;
Large;567;0;Control;Control:0;;12;152;;
G2 + early M;567;0;Control;Control:0;;12;437;;
0:None;567;0;Control;Control:0;;12;20;;
G0 + G1;567;0,01;C6O4;C6O4:0,01;;1;16666;;
G2 + early M;567;0,01;C6O4;C6O4:0,01;;1;438;;
S;567;0,01;C6O4;C6O4:0,01;;1;1784;;
late M;567;0,01;C6O4;C6O4:0,01;;1;289;;
Small;567;0,01;C6O4;C6O4:0,01;;1;533;;
Large;567;0,01;C6O4;C6O4:0,01;;1;177;;
0:None;567;0,01;C6O4;C6O4:0,01;;1;24;;
G0 + G1;567;0,01;C6O4;C6O4:0,01;;2;16151;;
S;567;0,01;C6O4;C6O4:0,01;;2;2388;;
Small;567;0,01;C6O4;C6O4:0,01;;2;607;;
late M;567;0,01;C6O4;C6O4:0,01;;2;345;;
G2 + early M;567;0,01;C6O4;C6O4:0,01;;2;707;;
Large;567;0,01;C6O4;C6O4:0,01;;2;160;;
0:None;567;0,01;C6O4;C6O4:0,01;;2;18;;
G0 + G1;567;0,01;C6O4;C6O4:0,01;;3;14681;;
Small;567;0,01;C6O4;C6O4:0,01;;3;392;;
late M;567;0,01;C6O4;C6O4:0,01;;3;273;;
S;567;0,01;C6O4;C6O4:0,01;;3;1208;;
G2 + early M;567;0,01;C6O4;C6O4:0,01;;3;396;;
Large;567;0,01;C6O4;C6O4:0,01;;3;102;;
0:None;567;0,01;C6O4;C6O4:0,01;;3;13;;
G0 + G1;567;0,1;C6O4;C6O4:0,1;;4;14655;;
G2 + early M;567;0,1;C6O4;C6O4:0,1;;4;406;;
Small;567;0,1;C6O4;C6O4:0,1;;4;494;;
late M;567;0,1;C6O4;C6O4:0,1;;4;305;;
S;567;0,1;C6O4;C6O4:0,1;;4;1363;;
Large;567;0,1;C6O4;C6O4:0,1;;4;82;;
0:None;567;0,1;C6O4;C6O4:0,1;;4;13;;
G0 + G1;567;0,1;C6O4;C6O4:0,1;;5;13800;;
late M;567;0,1;C6O4;C6O4:0,1;;5;307;;
Small;567;0,1;C6O4;C6O4:0,1;;5;515;;
G2 + early M;567;0,1;C6O4;C6O4:0,1;;5;583;;
0:None;567;0,1;C6O4;C6O4:0,1;;5;19;;
S;567;0,1;C6O4;C6O4:0,1;;5;1837;;
Large;567;0,1;C6O4;C6O4:0,1;;5;113;;
G0 + G1;567;0,1;C6O4;C6O4:0,1;;6;10360;;
G2 + early M;567;0,1;C6O4;C6O4:0,1;;6;318;;
Small;567;0,1;C6O4;C6O4:0,1;;6;318;;
S;567;0,1;C6O4;C6O4:0,1;;6;1220;;
0:None;567;0,1;C6O4;C6O4:0,1;;6;22;;
late M;567;0,1;C6O4;C6O4:0,1;;6;176;;
Large;567;0,1;C6O4;C6O4:0,1;;6;87;;
G0 + G1;567;1;C6O4;C6O4:1;;7;16241;;
Small;567;1;C6O4;C6O4:1;;7;591;;
S;567;1;C6O4;C6O4:1;;7;2180;;
late M;567;1;C6O4;C6O4:1;;7;364;;
G2 + early M;567;1;C6O4;C6O4:1;;7;557;;
Large;567;1;C6O4;C6O4:1;;7;133;;
0:None;567;1;C6O4;C6O4:1;;7;10;;
G0 + G1;567;1;C6O4;C6O4:1;;8;15652;;
Small;567;1;C6O4;C6O4:1;;8;491;;
late M;567;1;C6O4;C6O4:1;;8;357;;
G2 + early M;567;1;C6O4;C6O4:1;;8;561;;
S;567;1;C6O4;C6O4:1;;8;1972;;
Large;567;1;C6O4;C6O4:1;;8;115;;
0:None;567;1;C6O4;C6O4:1;;8;20;;
G0 + G1;567;1;C6O4;C6O4:1;;9;14595;;
late M;567;1;C6O4;C6O4:1;;9;265;;
S;567;1;C6O4;C6O4:1;;9;1911;;
Small;567;1;C6O4;C6O4:1;;9;585;;
G2 + early M;567;1;C6O4;C6O4:1;;9;494;;
0:None;567;1;C6O4;C6O4:1;;9;22;;
Large;567;1;C6O4;C6O4:1;;9;139;;
G0 + G1;567;0;Control;Control:0;;10;15733;;
Small;567;0;Control;Control:0;;10;630;;
S;567;0;Control;Control:0;;10;2613;;
G2 + early M;567;0;Control;Control:0;;10;769;;
late M;567;0;Control;Control:0;;10;303;;
Large;567;0;Control;Control:0;;10;177;;
0:None;567;0;Control;Control:0;;10;19;;
G0 + G1;567;0;Control;Control:0;;11;15118;;
S;567;0;Control;Control:0;;11;2488;;
late M;567;0;Control;Control:0;;11;265;;
0:None;567;0;Control;Control:0;;11;21;;
G2 + early M;567;0;Control;Control:0;;11;700;;
Large;567;0;Control;Control:0;;11;168;;
Small;567;0;Control;Control:0;;11;592;;
S;567;0;Control;Control:0;;12;2786;;
G0 + G1;567;0;Control;Control:0;;12;12517;;
Small;567;0;Control;Control:0;;12;824;;
G2 + early M;567;0;Control;Control:0;;12;1224;;
Large;567;0;Control;Control:0;;12;175;;
late M;567;0;Control;Control:0;;12;366;;
0:None;567;0;Control;Control:0;;12;44;;
Small;567;10;C6O4;C6O4:10;;1;858;;
G0 + G1;567;10;C6O4;C6O4:10;;1;15722;;
S;567;10;C6O4;C6O4:10;;1;3113;;
late M;567;10;C6O4;C6O4:10;;1;403;;
Large;567;10;C6O4;C6O4:10;;1;228;;
G2 + early M;567;10;C6O4;C6O4:10;;1;956;;
0:None;567;10;C6O4;C6O4:10;;1;32;;
G0 + G1;567;10;C6O4;C6O4:10;;2;16832;;
S;567;10;C6O4;C6O4:10;;2;3053;;
late M;567;10;C6O4;C6O4:10;;2;315;;
G2 + early M;567;10;C6O4;C6O4:10;;2;718;;
Small;567;10;C6O4;C6O4:10;;2;691;;
Large;567;10;C6O4;C6O4:10;;2;187;;
0:None;567;10;C6O4;C6O4:10;;2;24;;
G0 + G1;567;10;C6O4;C6O4:10;;3;16887;;
S;567;10;C6O4;C6O4:10;;3;2822;;
Small;567;10;C6O4;C6O4:10;;3;714;;
G2 + early M;567;10;C6O4;C6O4:10;;3;647;;
late M;567;10;C6O4;C6O4:10;;3;339;;
Large;567;10;C6O4;C6O4:10;;3;170;;
0:None;567;10;C6O4;C6O4:10;;3;14;;
G0 + G1;567;100;C6O4;C6O4:100;;4;13461;;
Small;567;100;C6O4;C6O4:100;;4;533;;
S;567;100;C6O4;C6O4:100;;4;1948;;
Large;567;100;C6O4;C6O4:100;;4;125;;
G2 + early M;567;100;C6O4;C6O4:100;;4;431;;
late M;567;100;C6O4;C6O4:100;;4;252;;
0:None;567;100;C6O4;C6O4:100;;4;25;;
G0 + G1;567;100;C6O4;C6O4:100;;5;15955;;
S;567;100;C6O4;C6O4:100;;5;2389;;
Small;567;100;C6O4;C6O4:100;;5;498;;
G2 + early M;567;100;C6O4;C6O4:100;;5;547;;
late M;567;100;C6O4;C6O4:100;;5;321;;
Large;567;100;C6O4;C6O4:100;;5;141;;
0:None;567;100;C6O4;C6O4:100;;5;15;;
S;567;100;C6O4;C6O4:100;;6;3372;;
G0 + G1;567;100;C6O4;C6O4:100;;6;10905;;
G2 + early M;567;100;C6O4;C6O4:100;;6;1584;;
late M;567;100;C6O4;C6O4:100;;6;385;;
Small;567;100;C6O4;C6O4:100;;6;741;;
Large;567;100;C6O4;C6O4:100;;6;144;;
0:None;567;100;C6O4;C6O4:100;;6;27;;
G0 + G1;567;0;Control;Control:0;;7;12201;;
S;567;0;Control;Control:0;;7;828;;
G2 + early M;567;0;Control;Control:0;;7;281;;
0:None;567;0;Control;Control:0;;7;16;;
late M;567;0;Control;Control:0;;7;193;;
Small;567;0;Control;Control:0;;7;215;;
Large;567;0;Control;Control:0;;7;70;;
G0 + G1;567;0;Control;Control:0;;8;15812;;
Small;567;0;Control;Control:0;;8;712;;
G2 + early M;567;0;Control;Control:0;;8;921;;
S;567;0;Control;Control:0;;8;3302;;
Large;567;0;Control;Control:0;;8;251;;
late M;567;0;Control;Control:0;;8;361;;
0:None;567;0;Control;Control:0;;8;24;;
G0 + G1;567;0;Control;Control:0;;9;13715;;
G2 + early M;567;0;Control;Control:0;;9;780;;
S;567;0;Control;Control:0;;9;1934;;
Small;567;0;Control;Control:0;;9;414;;
late M;567;0;Control;Control:0;;9;344;;
Large;567;0;Control;Control:0;;9;132;;
0:None;567;0;Control;Control:0;;9;15;;
G0 + G1;567;0;Control;Control:0;;10;16534;;
S;567;0;Control;Control:0;;10;3211;;
Small;567;0;Control;Control:0;;10;663;;
late M;567;0;Control;Control:0;;10;362;;
G2 + early M;567;0;Control;Control:0;;10;758;;
Large;567;0;Control;Control:0;;10;207;;
0:None;567;0;Control;Control:0;;10;21;;
G0 + G1;567;0;Control;Control:0;;11;15146;;
S;567;0;Control;Control:0;;11;2109;;
Small;567;0;Control;Control:0;;11;500;;
late M;567;0;Control;Control:0;;11;338;;
G2 + early M;567;0;Control;Control:0;;11;717;;
Large;567;0;Control;Control:0;;11;152;;
0:None;567;0;Control;Control:0;;11;18;;
G0 + G1;567;0;Control;Control:0;;12;15235;;
late M;567;0;Control;Control:0;;12;251;;
G2 + early M;567;0;Control;Control:0;;12;613;;
Small;567;0;Control;Control:0;;12;674;;
S;567;0;Control;Control:0;;12;2212;;
Large;567;0;Control;Control:0;;12;173;;
0:None;567;0;Control;Control:0;;12;52;;
G0 + G1;565;100;PFOA;PFOA:100;;1;13858;;
G2 + early M;565;100;PFOA;PFOA:100;;1;909;;
Small;565;100;PFOA;PFOA:100;;1;391;;
S;565;100;PFOA;PFOA:100;;1;2483;;
late M;565;100;PFOA;PFOA:100;;1;296;;
Large;565;100;PFOA;PFOA:100;;1;283;;
0:None;565;100;PFOA;PFOA:100;;1;26;;
S;565;10;PFOA;PFOA:10;;2;1787;;
G0 + G1;565;10;PFOA;PFOA:10;;2;11013;;
late M;565;10;PFOA;PFOA:10;;2;175;;
G2 + early M;565;10;PFOA;PFOA:10;;2;623;;
Small;565;10;PFOA;PFOA:10;;2;408;;
Large;565;10;PFOA;PFOA:10;;2;88;;
0:None;565;10;PFOA;PFOA:10;;2;17;;
G0 + G1;565;1;PFOA;PFOA:1;;3;11102;;
Small;565;1;PFOA;PFOA:1;;3;315;;
G2 + early M;565;1;PFOA;PFOA:1;;3;348;;
S;565;1;PFOA;PFOA:1;;3;1422;;
late M;565;1;PFOA;PFOA:1;;3;167;;
0:None;565;1;PFOA;PFOA:1;;3;17;;
Large;565;1;PFOA;PFOA:1;;3;83;;
G0 + G1;565;0,1;PFOA;PFOA:0,1;;4;9206;;
G2 + early M;565;0,1;PFOA;PFOA:0,1;;4;325;;
late M;565;0,1;PFOA;PFOA:0,1;;4;162;;
S;565;0,1;PFOA;PFOA:0,1;;4;1065;;
Small;565;0,1;PFOA;PFOA:0,1;;4;281;;
Large;565;0,1;PFOA;PFOA:0,1;;4;73;;
0:None;565;0,1;PFOA;PFOA:0,1;;4;33;;
G0 + G1;565;0,01;PFOA;PFOA:0,01;;5;10089;;
G2 + early M;565;0,01;PFOA;PFOA:0,01;;5;290;;
S;565;0,01;PFOA;PFOA:0,01;;5;877;;
late M;565;0,01;PFOA;PFOA:0,01;;5;139;;
Small;565;0,01;PFOA;PFOA:0,01;;5;221;;
0:None;565;0,01;PFOA;PFOA:0,01;;5;20;;
Large;565;0,01;PFOA;PFOA:0,01;;5;54;;
G0 + G1;565;100;PFOS;PFOS:100;;6;9027;;
G2 + early M;565;100;PFOS;PFOS:100;;6;388;;
S;565;100;PFOS;PFOS:100;;6;1168;;
Small;565;100;PFOS;PFOS:100;;6;272;;
late M;565;100;PFOS;PFOS:100;;6;194;;
Large;565;100;PFOS;PFOS:100;;6;53;;
0:None;565;100;PFOS;PFOS:100;;6;28;;
G0 + G1;565;10;PFOS;PFOS:10;;7;15000;;
S;565;10;PFOS;PFOS:10;;7;1186;;
Small;565;10;PFOS;PFOS:10;;7;620;;
late M;565;10;PFOS;PFOS:10;;7;199;;
G2 + early M;565;10;PFOS;PFOS:10;;7;407;;
Large;565;10;PFOS;PFOS:10;;7;83;;
0:None;565;10;PFOS;PFOS:10;;7;20;;
G0 + G1;565;1;PFOS;PFOS:1;;8;10770;;
S;565;1;PFOS;PFOS:1;;8;1515;;
late M;565;1;PFOS;PFOS:1;;8;176;;
G2 + early M;565;1;PFOS;PFOS:1;;8;462;;
Small;565;1;PFOS;PFOS:1;;8;309;;
Large;565;1;PFOS;PFOS:1;;8;66;;
0:None;565;1;PFOS;PFOS:1;;8;22;;
0:None;565;0,1;PFOS;PFOS:0,1;;9;19;;
G0 + G1;565;0,1;PFOS;PFOS:0,1;;9;11926;;
S;565;0,1;PFOS;PFOS:0,1;;9;2090;;
late M;565;0,1;PFOS;PFOS:0,1;;9;249;;
Small;565;0,1;PFOS;PFOS:0,1;;9;373;;
G2 + early M;565;0,1;PFOS;PFOS:0,1;;9;696;;
Large;565;0,1;PFOS;PFOS:0,1;;9;111;;
G0 + G1;565;0,01;PFOS;PFOS:0,01;;10;11123;;
Small;565;0,01;PFOS;PFOS:0,01;;10;579;;
S;565;0,01;PFOS;PFOS:0,01;;10;2434;;
G2 + early M;565;0,01;PFOS;PFOS:0,01;;10;898;;
late M;565;0,01;PFOS;PFOS:0,01;;10;244;;
Large;565;0,01;PFOS;PFOS:0,01;;10;131;;
0:None;565;0,01;PFOS;PFOS:0,01;;10;31;;
G0 + G1;565;0;Control;Control:0;;11;12928;;
S;565;0;Control;Control:0;;11;2118;;
G2 + early M;565;0;Control;Control:0;;11;633;;
Small;565;0;Control;Control:0;;11;655;;
late M;565;0;Control;Control:0;;11;281;;
Large;565;0;Control;Control:0;;11;108;;
0:None;565;0;Control;Control:0;;11;27;;
G0 + G1;565;0;Control;Control:0;;12;15269;;
late M;565;0;Control;Control:0;;12;221;;
S;565;0;Control;Control:0;;12;953;;
Small;565;0;Control;Control:0;;12;464;;
0:None;565;0;Control;Control:0;;12;20;;
G2 + early M;565;0;Control;Control:0;;12;294;;
Large;565;0;Control;Control:0;;12;86;;
G0 + G1;565;100;PFOA;PFOA:100;;1;16077;;
S;565;100;PFOA;PFOA:100;;1;1322;;
Small;565;100;PFOA;PFOA:100;;1;386;;
G2 + early M;565;100;PFOA;PFOA:100;;1;397;;
late M;565;100;PFOA;PFOA:100;;1;259;;
Large;565;100;PFOA;PFOA:100;;1;116;;
0:None;565;100;PFOA;PFOA:100;;1;21;;
G0 + G1;565;10;PFOA;PFOA:10;;2;11927;;
G2 + early M;565;10;PFOA;PFOA:10;;2;603;;
S;565;10;PFOA;PFOA:10;;2;1707;;
late M;565;10;PFOA;PFOA:10;;2;256;;
Large;565;10;PFOA;PFOA:10;;2;77;;
Small;565;10;PFOA;PFOA:10;;2;370;;
0:None;565;10;PFOA;PFOA:10;;2;27;;
G0 + G1;565;1;PFOA;PFOA:1;;3;11371;;
late M;565;1;PFOA;PFOA:1;;3;160;;
S;565;1;PFOA;PFOA:1;;3;991;;
Small;565;1;PFOA;PFOA:1;;3;261;;
0:None;565;1;PFOA;PFOA:1;;3;25;;
G2 + early M;565;1;PFOA;PFOA:1;;3;255;;
Large;565;1;PFOA;PFOA:1;;3;44;;
G0 + G1;565;0,1;PFOA;PFOA:0,1;;4;8665;;
Small;565;0,1;PFOA;PFOA:0,1;;4;197;;
S;565;0,1;PFOA;PFOA:0,1;;4;819;;
G2 + early M;565;0,1;PFOA;PFOA:0,1;;4;240;;
0:None;565;0,1;PFOA;PFOA:0,1;;4;27;;
late M;565;0,1;PFOA;PFOA:0,1;;4;140;;
Large;565;0,1;PFOA;PFOA:0,1;;4;49;;
G0 + G1;565;0,01;PFOA;PFOA:0,01;;5;9679;;
late M;565;0,01;PFOA;PFOA:0,01;;5;163;;
0:None;565;0,01;PFOA;PFOA:0,01;;5;15;;
G2 + early M;565;0,01;PFOA;PFOA:0,01;;5;186;;
Small;565;0,01;PFOA;PFOA:0,01;;5;197;;
S;565;0,01;PFOA;PFOA:0,01;;5;656;;
Large;565;0,01;PFOA;PFOA:0,01;;5;36;;
G0 + G1;565;100;PFOS;PFOS:100;;6;11085;;
Small;565;100;PFOS;PFOS:100;;6;204;;
S;565;100;PFOS;PFOS:100;;6;1021;;
late M;565;100;PFOS;PFOS:100;;6;150;;
G2 + early M;565;100;PFOS;PFOS:100;;6;351;;
0:None;565;100;PFOS;PFOS:100;;6;19;;
Large;565;100;PFOS;PFOS:100;;6;52;;
G0 + G1;565;10;PFOS;PFOS:10;;7;11876;;
late M;565;10;PFOS;PFOS:10;;7;226;;
Small;565;10;PFOS;PFOS:10;;7;398;;
S;565;10;PFOS;PFOS:10;;7;1337;;
G2 + early M;565;10;PFOS;PFOS:10;;7;454;;
0:None;565;10;PFOS;PFOS:10;;7;44;;
Large;565;10;PFOS;PFOS:10;;7;92;;
G0 + G1;565;1;PFOS;PFOS:1;;8;8579;;
0:None;565;1;PFOS;PFOS:1;;8;27;;
S;565;1;PFOS;PFOS:1;;8;756;;
G2 + early M;565;1;PFOS;PFOS:1;;8;207;;
late M;565;1;PFOS;PFOS:1;;8;164;;
Small;565;1;PFOS;PFOS:1;;8;179;;
Large;565;1;PFOS;PFOS:1;;8;33;;
G0 + G1;565;0,1;PFOS;PFOS:0,1;;9;9699;;
G2 + early M;565;0,1;PFOS;PFOS:0,1;;9;372;;
late M;565;0,1;PFOS;PFOS:0,1;;9;195;;
Small;565;0,1;PFOS;PFOS:0,1;;9;230;;
S;565;0,1;PFOS;PFOS:0,1;;9;1291;;
Large;565;0,1;PFOS;PFOS:0,1;;9;62;;
0:None;565;0,1;PFOS;PFOS:0,1;;9;18;;
G0 + G1;565;0,01;PFOS;PFOS:0,01;;10;9702;;
Small;565;0,01;PFOS;PFOS:0,01;;10;318;;
0:None;565;0,01;PFOS;PFOS:0,01;;10;25;;
G2 + early M;565;0,01;PFOS;PFOS:0,01;;10;686;;
S;565;0,01;PFOS;PFOS:0,01;;10;1595;;
late M;565;0,01;PFOS;PFOS:0,01;;10;224;;
Large;565;0,01;PFOS;PFOS:0,01;;10;65;;
G0 + G1;565;0;Control;Control:0;;11;11241;;
late M;565;0;Control;Control:0;;11;190;;
0:None;565;0;Control;Control:0;;11;27;;
S;565;0;Control;Control:0;;11;632;;
G2 + early M;565;0;Control;Control:0;;11;245;;
Small;565;0;Control;Control:0;;11;227;;
Large;565;0;Control;Control:0;;11;46;;
G0 + G1;565;0;Control;Control:0;;12;11679;;
S;565;0;Control;Control:0;;12;1303;;
G2 + early M;565;0;Control;Control:0;;12;443;;
late M;565;0;Control;Control:0;;12;256;;
Small;565;0;Control;Control:0;;12;660;;
0:None;565;0;Control;Control:0;;12;43;;
Large;565;0;Control;Control:0;;12;62;;
G0 + G1;565;100;PFOA;PFOA:100;;1;13743;;
S;565;100;PFOA;PFOA:100;;1;1399;;
Small;565;100;PFOA;PFOA:100;;1;468;;
late M;565;100;PFOA;PFOA:100;;1;223;;
G2 + early M;565;100;PFOA;PFOA:100;;1;406;;
0:None;565;100;PFOA;PFOA:100;;1;25;;
Large;565;100;PFOA;PFOA:100;;1;124;;
G0 + G1;565;10;PFOA;PFOA:10;;2;10647;;
S;565;10;PFOA;PFOA:10;;2;940;;
G2 + early M;565;10;PFOA;PFOA:10;;2;291;;
0:None;565;10;PFOA;PFOA:10;;2;34;;
late M;565;10;PFOA;PFOA:10;;2;163;;
Small;565;10;PFOA;PFOA:10;;2;265;;
Large;565;10;PFOA;PFOA:10;;2;53;;
S;565;1;PFOA;PFOA:1;;3;1163;;
G0 + G1;565;1;PFOA;PFOA:1;;3;10602;;
Small;565;1;PFOA;PFOA:1;;3;323;;
late M;565;1;PFOA;PFOA:1;;3;187;;
G2 + early M;565;1;PFOA;PFOA:1;;3;351;;
0:None;565;1;PFOA;PFOA:1;;3;36;;
Large;565;1;PFOA;PFOA:1;;3;51;;
G0 + G1;565;0,1;PFOA;PFOA:0,1;;4;11901;;
S;565;0,1;PFOA;PFOA:0,1;;4;760;;
G2 + early M;565;0,1;PFOA;PFOA:0,1;;4;236;;
0:None;565;0,1;PFOA;PFOA:0,1;;4;18;;
Small;565;0,1;PFOA;PFOA:0,1;;4;256;;
late M;565;0,1;PFOA;PFOA:0,1;;4;163;;
Large;565;0,1;PFOA;PFOA:0,1;;4;54;;
G0 + G1;565;0,01;PFOA;PFOA:0,01;;5;7922;;
Small;565;0,01;PFOA;PFOA:0,01;;5;116;;
G2 + early M;565;0,01;PFOA;PFOA:0,01;;5;146;;
S;565;0,01;PFOA;PFOA:0,01;;5;486;;
late M;565;0,01;PFOA;PFOA:0,01;;5;122;;
Large;565;0,01;PFOA;PFOA:0,01;;5;27;;
0:None;565;0,01;PFOA;PFOA:0,01;;5;17;;
G0 + G1;565;100;PFOS;PFOS:100;;6;9897;;
S;565;100;PFOS;PFOS:100;;6;551;;
G2 + early M;565;100;PFOS;PFOS:100;;6;182;;
Small;565;100;PFOS;PFOS:100;;6;134;;
late M;565;100;PFOS;PFOS:100;;6;186;;
Large;565;100;PFOS;PFOS:100;;6;19;;
0:None;565;100;PFOS;PFOS:100;;6;10;;
late M;565;10;PFOS;PFOS:10;;7;224;;
G0 + G1;565;10;PFOS;PFOS:10;;7;14581;;
Small;565;10;PFOS;PFOS:10;;7;269;;
S;565;10;PFOS;PFOS:10;;7;889;;
0:None;565;10;PFOS;PFOS:10;;7;16;;
G2 + early M;565;10;PFOS;PFOS:10;;7;232;;
Large;565;10;PFOS;PFOS:10;;7;87;;
G0 + G1;565;1;PFOS;PFOS:1;;8;9866;;
Small;565;1;PFOS;PFOS:1;;8;191;;
S;565;1;PFOS;PFOS:1;;8;755;;
0:None;565;1;PFOS;PFOS:1;;8;24;;
late M;565;1;PFOS;PFOS:1;;8;171;;
G2 + early M;565;1;PFOS;PFOS:1;;8;236;;
Large;565;1;PFOS;PFOS:1;;8;34;;
G0 + G1;565;0,1;PFOS;PFOS:0,1;;9;7572;;
0:None;565;0,1;PFOS;PFOS:0,1;;9;45;;
Small;565;0,1;PFOS;PFOS:0,1;;9;111;;
S;565;0,1;PFOS;PFOS:0,1;;9;578;;
late M;565;0,1;PFOS;PFOS:0,1;;9;143;;
G2 + early M;565;0,1;PFOS;PFOS:0,1;;9;181;;
Large;565;0,1;PFOS;PFOS:0,1;;9;27;;
0:None;565;0,01;PFOS;PFOS:0,01;;10;24;;
G0 + G1;565;0,01;PFOS;PFOS:0,01;;10;10216;;
late M;565;0,01;PFOS;PFOS:0,01;;10;153;;
Small;565;0,01;PFOS;PFOS:0,01;;10;177;;
G2 + early M;565;0,01;PFOS;PFOS:0,01;;10;241;;
S;565;0,01;PFOS;PFOS:0,01;;10;699;;
Large;565;0,01;PFOS;PFOS:0,01;;10;48;;
G0 + G1;565;0;Control;Control:0;;11;9413;;
late M;565;0;Control;Control:0;;11;134;;
G2 + early M;565;0;Control;Control:0;;11;164;;
Small;565;0;Control;Control:0;;11;141;;
S;565;0;Control;Control:0;;11;346;;
0:None;565;0;Control;Control:0;;11;32;;
Large;565;0;Control;Control:0;;11;20;;
G0 + G1;565;0;Control;Control:0;;12;8891;;
Small;565;0;Control;Control:0;;12;303;;
S;565;0;Control;Control:0;;12;1342;;
late M;565;0;Control;Control:0;;12;198;;
0:None;565;0;Control;Control:0;;12;26;;
G2 + early M;565;0;Control;Control:0;;12;490;;
Large;565;0;Control;Control:0;;12;70;;
G0 + G1;565;100;PFBA;PFBA:100;;1;12018;;
G2 + early M;565;100;PFBA;PFBA:100;;1;480;;
late M;565;100;PFBA;PFBA:100;;1;188;;
Small;565;100;PFBA;PFBA:100;;1;474;;
S;565;100;PFBA;PFBA:100;;1;1621;;
0:None;565;100;PFBA;PFBA:100;;1;20;;
Large;565;100;PFBA;PFBA:100;;1;75;;
G0 + G1;565;10;PFBA;PFBA:10;;2;10442;;
late M;565;10;PFBA;PFBA:10;;2;176;;
Small;565;10;PFBA;PFBA:10;;2;198;;
S;565;10;PFBA;PFBA:10;;2;889;;
G2 + early M;565;10;PFBA;PFBA:10;;2;270;;
0:None;565;10;PFBA;PFBA:10;;2;30;;
Large;565;10;PFBA;PFBA:10;;2;43;;
G0 + G1;565;1;PFBA;PFBA:1;;3;13389;;
Small;565;1;PFBA;PFBA:1;;3;238;;
S;565;1;PFBA;PFBA:1;;3;1044;;
G2 + early M;565;1;PFBA;PFBA:1;;3;275;;
late M;565;1;PFBA;PFBA:1;;3;198;;
0:None;565;1;PFBA;PFBA:1;;3;14;;
Large;565;1;PFBA;PFBA:1;;3;44;;
G0 + G1;565;0,1;PFBA;PFBA:0,1;;4;9454;;
S;565;0,1;PFBA;PFBA:0,1;;4;718;;
0:None;565;0,1;PFBA;PFBA:0,1;;4;27;;
late M;565;0,1;PFBA;PFBA:0,1;;4;175;;
Small;565;0,1;PFBA;PFBA:0,1;;4;208;;
G2 + early M;565;0,1;PFBA;PFBA:0,1;;4;199;;
Large;565;0,1;PFBA;PFBA:0,1;;4;44;;
0:None;565;0,01;PFBA;PFBA:0,01;;5;21;;
G0 + G1;565;0,01;PFBA;PFBA:0,01;;5;8408;;
G2 + early M;565;0,01;PFBA;PFBA:0,01;;5;108;;
S;565;0,01;PFBA;PFBA:0,01;;5;330;;
Small;565;0,01;PFBA;PFBA:0,01;;5;109;;
late M;565;0,01;PFBA;PFBA:0,01;;5;92;;
Large;565;0,01;PFBA;PFBA:0,01;;5;22;;
G0 + G1;565;100;PFBS;PFBS:100;;6;7472;;
0:None;565;100;PFBS;PFBS:100;;6;60;;
G2 + early M;565;100;PFBS;PFBS:100;;6;128;;
S;565;100;PFBS;PFBS:100;;6;437;;
Small;565;100;PFBS;PFBS:100;;6;85;;
Large;565;100;PFBS;PFBS:100;;6;20;;
late M;565;100;PFBS;PFBS:100;;6;107;;
0:None;565;10;PFBS;PFBS:10;;7;27;;
late M;565;10;PFBS;PFBS:10;;7;259;;
Small;565;10;PFBS;PFBS:10;;7;226;;
G0 + G1;565;10;PFBS;PFBS:10;;7;12958;;
S;565;10;PFBS;PFBS:10;;7;757;;
G2 + early M;565;10;PFBS;PFBS:10;;7;243;;
Large;565;10;PFBS;PFBS:10;;7;66;;
G0 + G1;565;1;PFBS;PFBS:1;;8;10425;;
late M;565;1;PFBS;PFBS:1;;8;183;;
0:None;565;1;PFBS;PFBS:1;;8;30;;
S;565;1;PFBS;PFBS:1;;8;341;;
G2 + early M;565;1;PFBS;PFBS:1;;8;147;;
Small;565;1;PFBS;PFBS:1;;8;158;;
Large;565;1;PFBS;PFBS:1;;8;12;;
G0 + G1;565;0,1;PFBS;PFBS:0,1;;9;7365;;
0:None;565;0,1;PFBS;PFBS:0,1;;9;33;;
S;565;0,1;PFBS;PFBS:0,1;;9;346;;
Small;565;0,1;PFBS;PFBS:0,1;;9;118;;
G2 + early M;565;0,1;PFBS;PFBS:0,1;;9;123;;
late M;565;0,1;PFBS;PFBS:0,1;;9;113;;
Large;565;0,1;PFBS;PFBS:0,1;;9;21;;
G0 + G1;565;0,01;PFBS;PFBS:0,01;;10;10712;;
Large;565;0,01;PFBS;PFBS:0,01;;10;36;;
Small;565;0,01;PFBS;PFBS:0,01;;10;175;;
S;565;0,01;PFBS;PFBS:0,01;;10;451;;
0:None;565;0,01;PFBS;PFBS:0,01;;10;23;;
G2 + early M;565;0,01;PFBS;PFBS:0,01;;10;156;;
late M;565;0,01;PFBS;PFBS:0,01;;10;158;;
G0 + G1;565;0;Control;Control:0;;11;7347;;
Small;565;0;Control;Control:0;;11;128;;
G2 + early M;565;0;Control;Control:0;;11;117;;
0:None;565;0;Control;Control:0;;11;27;;
late M;565;0;Control;Control:0;;11;113;;
S;565;0;Control;Control:0;;11;287;;
